created_at,cost_total,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,finish_reason_normalized,generation_time_ms,time_to_first_token_ms
2026-01-15 06:47:57.460,0.017303,203,1705,1580,google/gemini-2.5-pro,Google,standard,stop,16797,1998
2026-01-15 06:47:57.426,0.002268,221,107,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2945,1406
2026-01-15 06:47:57.425,0.003423,196,220,128,openai/gpt-5.2-20251211,OpenAI,standard,stop,4895,3910
2026-01-15 06:47:57.423,0.000152,202,568,484,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,11669,875
2026-01-15 06:47:46.748,0.000293,245,1126,1016,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,20550,963
2026-01-15 06:47:46.736,0.017018,239,1672,1552,google/gemini-2.5-pro,Google,standard,stop,16076,2204
2026-01-15 06:47:46.734,0.002973,276,143,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4038,1582
2026-01-15 06:47:46.732,0.005871,227,391,266,openai/gpt-5.2-20251211,OpenAI,standard,stop,11180,7286
2026-01-15 06:47:38.517,0.000257,199,990,921,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,18668,2074
2026-01-15 06:47:38.516,0.017197,198,1695,1577,google/gemini-2.5-pro,Google,standard,stop,17221,2193
2026-01-15 06:47:38.501,0.004224,190,278,188,openai/gpt-5.2-20251211,OpenAI,standard,stop,10700,8246
2026-01-15 06:47:38.500,0.002232,214,106,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3120,1386
2026-01-15 06:47:31.199,0.0,0,0,72,google/gemini-2.5-pro,Google,standard,,2484,2324
2026-01-15 06:47:31.198,0.002646,227,131,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3174,730
2026-01-15 06:47:31.175,0.004182,198,274,173,openai/gpt-5.2-20251211,OpenAI,standard,stop,7174,5192
2026-01-15 06:47:31.174,0.000449,206,1758,1646,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,32474,1084
2026-01-15 06:47:26.454,0.000252,218,966,875,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,19935,1121
2026-01-15 06:47:26.451,0.018465,212,1820,1723,google/gemini-2.5-pro,Google,standard,stop,19794,3244
2026-01-15 06:47:26.449,0.003395,204,217,117,openai/gpt-5.2-20251211,OpenAI,standard,stop,6594,4117
2026-01-15 06:47:26.446,0.00276,245,135,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4970,2383
2026-01-15 06:47:21.608,0.002742,354,112,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4116,1816
2026-01-15 06:47:21.606,0.008582,304,575,451,openai/gpt-5.2-20251211,OpenAI,standard,stop,14613,6804
2026-01-15 06:47:21.605,0.016033,315,1564,1453,google/gemini-2.5-pro,Google,standard,stop,16375,1949
2026-01-15 06:47:21.603,0.000154,319,555,480,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,10869,767
2026-01-15 06:47:09.634,0.016891,201,1664,1557,google/gemini-2.5-pro,Google,standard,stop,18371,3076
2026-01-15 06:47:09.633,0.003514,192,227,125,openai/gpt-5.2-20251211,OpenAI,standard,stop,7215,4328
2026-01-15 06:47:09.632,0.002595,220,129,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2840,803
2026-01-15 06:47:09.630,0.000295,203,1140,1053,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,21275,859
2026-01-15 06:47:04.176,0.000182,229,684,599,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,13624,1095
2026-01-15 06:47:04.171,0.017731,233,1744,1592,google/gemini-2.5-pro,Google,standard,stop,16920,2197
2026-01-15 06:47:04.169,0.002448,256,112,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2608,723
2026-01-15 06:47:04.167,0.00712,221,481,365,openai/gpt-5.2-20251211,OpenAI,standard,stop,12795,7168
2026-01-15 06:46:55.731,0.004557,292,289,175,openai/gpt-5.2-20251211,OpenAI,standard,stop,7338,5073
2026-01-15 06:46:55.729,0.002817,334,121,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3604,706
2026-01-15 06:46:55.728,0.012576,301,1220,1133,google/gemini-2.5-pro,Google,standard,stop,13418,2226
2026-01-15 06:46:55.726,0.000208,306,735,734,qwen/qwen3-8b-04-28,Fireworks,standard,stop,5755,492
2026-01-15 06:46:54.352,0.003818,198,248,139,openai/gpt-5.2-20251211,OpenAI,standard,stop,5335,4057
2026-01-15 06:46:54.350,0.000218,215,832,748,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,16470,1501
